globalId,sex,birthday,familyId
CFG583-01-A (525),Unknown,07/08/2023,87450
RVT795-01-A (142),Female,09/27/2018,82145
XQV573-01-A (143),Female,01/18/2019,83194
KDL739-01-N (429),Female,11/06/2018,87652
KGJ856-01-A (120),Male,08/02/2019,83879
TDS587-01-A (548),Female,06/11/2020,84052
LKX501-01-A (218),Male,09/14/2009,360
GSS927-01-N (990),Female,11/15/2016,5019
KRC117-01-A (822),Male,10/15/2018,80606
SQM567-01-A (680),Male,09/24/2015,1692
HJJ518-01-A (855),Male,01/22/2023,83607
PMY376-01-A (779),Female,02/13/2019,80929
CTX789-01-A (812),Male,03/07/2019,80619
LVX258-01-A (878),Female,05/10/2010,473
NTM103-01-A (152),Female,10/21/2012,686
NNM301-01-A (954),Female,11/08/2022,80625
FRJ675-01-A (185),Female,10/20/2022,81338
WZT862-01-A (274),Male,01/08/2015,1676
YHF868-01-A (482),Male,12/16/2011,579
BHJ759-01-A (822),Male,10/23/2021,86354
PZH655-01-A (647),Female,02/22/2020,89316
GFH183-01-M (966),Male,11/17/2011,662
SDH473-01-A (954),Female,05/23/2009,310
QYX270-01-A (944),Female,02/25/2019,88073
CSS863-01-A (383),Female,03/13/2017,6050
BDN943-01-A (657),,05/20/2019,87348
WWS790-01-A (142),Female,07/27/2022,83929
ZJF967-01-A (581),Female,08/23/2022,86235
MMN084-01-A (185),,07/19/2019,86962
YXC616-01-A (614),Female,08/29/2019,87804
VZC888-01-A,Female,01/18/2023,83925
RTW198-01-A (176),Female,01/23/2022,82389
PCG628-01-A (855),Male,08/09/2010,506
FNF959-01-A (186),Male,10/17/2018,86011
BQJ031-01-A (558),Male,02/09/2017,2121
KCT927-01-A (185),Male,08/09/2020,88029
JLR169-01-A (317),Male,07/27/2023,82097
XLV074-01-A (746),Female,04/28/2019,87379
RBR931-02-A (185),Male,04/29/2011,563
NCF401-01-N (835),Female,08/12/2016,3015
LMR839-01-A (548),Female,02/06/2023,87552
TTG223-01-A (251),Male,02/08/2019,82450
XXC335-01-A (515),Unknown,10/05/2022,84330
PBF223-01-A (492),Male,11/26/2012,1485
GVZ320-01-A (449),Female,02/11/2020,87596
TPC143-01-A (120),Male,11/18/2016,2104
NVS704-01-A (647),Female,10/12/2009,358
BHN151-01-A (492),Female,07/23/2021,89954
KWY202-01-A (548),Male,09/21/2011,638
JQC757-01-A (186),Female,04/17/2023,87641
TQQ027-01-A (548),Female,12/28/2019,89657
LKZ423-01-A (383),Male,02/13/2020,84335
QRD096-01-A (251),Female,11/23/2022,88931
TKF056-01-A (153),Unknown,12/28/2019,89939
BKX774-01-A (284),Male,01/19/2012,1407
ZRN359-01-A (944),Male,10/26/2019,84989
XVF774-01-A (779),Female,04/15/2018,81659
DFG495-01-A (624),Male,08/11/2023,80140
TVF938-01-A (713),Male,06/01/2023,88891
RXV106-01-A (812),Female,02/14/2019,82891
BPZ685-01-A (548),Female,05/20/2021,83612
CSG043-01-A (657),Female,06/13/2009,287
SDH473-02-A (987),Female,05/17/2010,439
HLZ294-01-A (482),Male,10/18/2022,86326
HSD339-01-A (987),Male,07/01/2020,82968
YYX721-01-N (683),,03/02/2023,89686
CRB612-01-A (525),,06/23/2023,84556
JNF576-01-A (153),Female,07/28/2009,386
BJH083-01-A (492),Male,01/14/2018,86055
WQC189-01-A (482),Male,01/09/2019,86320
NTG064-01-A (152),,01/24/2019,88291
XGC495-01-A (185),Male,07/20/2020,86166
QMF776-01-A (317),Unknown,07/10/2023,80071
JKT846-01-A (416),Female,08/03/2020,88876
NRN845-01-A (548),Male,12/22/2018,81808
YGY528-01-A (845),Male,04/06/2022,80510
SDT653-01-A (350),Female,01/29/2019,86505
GZM171-01-A (284),Male,05/29/2012,1406
SMJ584-01-A (416),Female,10/04/2019,80260
QTV353-01-A (779),Male,09/15/2011,661
TZR553-01-A (110),Female,08/20/2022,88166
YDD897-01-A (350),Female,10/03/2009,348
SSN103-01-A (317),Male,12/31/2018,82081
CSH696-01-A (152),Male,06/16/2010,434
JZP660-01-A (581),Female,08/20/2022,83633
PLV393-01-A (614),Male,11/03/2010,543
QCQ304-01-A (921),Male,11/26/2021,83459
RDJ491-01-A (987),Female,09/22/2009,351
XSQ553-01-A (878),Female,10/27/2022,89826
RLQ120-01-A (119),Female,12/16/2021,83374
LYQ721-01-A (581),Female,09/16/2008,72
CLH233-01-A (492),Male,01/12/2019,85674
LJD696-01-A (120),Female,01/31/2023,89811
SSX741-01-A (911),Male,03/09/2019,80835
JJK068-01-A (954),Male,01/04/2023,84105
BBQ772-01-A (690),,12/09/2018,83582
VWT853-01-A (142),Male,03/17/2022,84647
ZWG279-01-A (911),Male,02/08/2022,83406
HVB288-01-A (119),Male,05/25/2022,81785
WFY450-01-A (548),Male,09/02/2019,89784
ZBF912-01-A (987),Male,09/22/2016,2057
RRN145-01-A (449),Male,01/26/2013,1511
YSY780-01-A (241),Male,01/06/2022,86605
HKC783-01-A (789),Female,10/03/2022,88091
MBB404-01-A (294),Female,06/09/2022,87648
QHS047-01-A (284),Male,10/09/2016,3025
MCV334-01-A (153),Male,06/27/2023,87429
QHC177-01-A (888),Female,04/23/2020,82588
WLB161-01-A (954),Female,05/05/2019,85465
PSK314-01-A (251),Female,06/11/2021,82819
BTM175-01-A (153),Female,05/13/2019,82077
QKY801-01-A (515),,01/10/2022,82875
VKK892-01-A (548),Female,10/22/2016,6037
WBF935-01-A (153),Female,06/03/2011,577
VFY142-01-A (449),Male,01/25/2022,82067
VQX210-01-A (647),Female,09/26/2019,86414
DZJ183-01-A (185),Female,02/03/2015,1686
TLS032-01-A (317),Male,09/07/2013,1608
XVL743-01-A (845),Male,08/24/2018,84513
DNW140-01-A (987),Male,12/19/2016,5018
WCZ411-01-A (383),Female,05/23/2021,81471
ZFG815-01-A (218),Female,12/01/2008,57
NYZ677-01-A (274),Female,12/30/2012,1521
KDD005-01-A (261),Male,01/25/2019,82773
PGQ393-01-A (284),Female,12/27/2022,87234
CCX293-01-A (921),Male,10/07/2016,3057
QJJ178-01-A (218),Male,04/03/2019,80934
GNT905-01-A (284),Female,10/10/2014,1547
VGK107-01-A (153),,07/14/2022,86552
VKK224-01-A (185),Female,04/10/2020,85582
VNC365-01-A (218),Female,06/18/2022,83232
YCX311-01-A (350),Male,11/30/2022,85607
BXR294-01-A (416),Female,11/05/2010,550
FYN107-01-A (218),Female,09/23/2022,84024
ZFT994-01-A (911),Female,03/16/2020,82148
NSY520-01-A (614),Female,11/17/2008,94
LWN054-01-M (791),Male,08/23/2016,3012
QHS680-01-A (383),Male,12/15/2018,80259
WXD665-01-A (713),Female,08/25/2018,88142
MLW298-01-A (680),Female,09/16/2022,82423
VXG338-01-A (680),Male,01/15/2019,80243
MCY712-01-A (152),Male,05/06/2010,450
TWT305-01-A (812),Male,09/05/2018,85208
MLG277-01-A (153),Male,10/13/2022,83880
VBC946-01-A (987),Female,06/13/2023,87054
FTT082-01-A (317),Male,08/02/2012,1463
HFR891-01-A (119),Female,03/04/2021,82248
RDT215-01-A (119),Female,11/28/2018,88317
CWL870-01-A (218),Female,12/27/2018,88324
ZVV604-01-A (109),Male,10/30/2017,3145
VDF655-01-A (153),Female,07/31/2021,82660
SGF997-01-A (350),Female,01/07/2016,1666
TBK288-01-A (152),Male,03/12/2010,462
WGX824-01-A (713),Unknown,12/17/2018,88715
NKJ118-01-A (954),Female,10/15/2019,83749
ZBP753-01-A (416),Male,03/28/2019,84812
JYK203-01-A (152),Male,08/21/2016,2021
YCS424-01-A (350),Female,11/08/2018,88313
CZY990-01-A (845),Female,04/04/2019,87370
GBG325-01-A (327),Male,02/21/2010,319
FYD165-01-A (120),Unknown,08/10/2022,87493
CVH085-01-A (987),Male,01/12/2019,81972
VWX418-01-A (175),Male,11/09/2022,84075
KXY174-01-A (845),Male,09/05/2012,658
MWH956-01-A (581),Male,03/15/2013,1528
JFP288-01-A (119),Male,07/24/2019,82381
WHW151-01-A (482),Female,04/25/2010,472
TKR446-01-A (548),Unknown,06/26/2023,83806
KNB361-01-A (690),,05/06/2023,85917
MYJ673-01-A (581),Female,12/19/2018,89649
ZJC165-01-A (152),Male,02/21/2020,82766
PWH961-01-A (548),Female,06/03/2022,81367
KJJ524-01-M (263),Female,10/09/2019,84501
CFH453-02-A (459),Male,10/30/2014,1594
FNS996-01-A (548),Male,09/02/2011,590
XKF863-01-A (383),Male,12/04/2013,1565
HRF525-01-A (921),Female,01/09/2013,1581
ZVX093-01-A (241),,05/29/2023,85082
THB435-01-A (855),Female,12/03/2018,83228
QZP255-01-A (812),Female,03/01/2019,86307
CCN848-01-A (789),Male,08/30/2009,391
BGT851-01-A (888),Female,03/13/2019,83431
PPS994-01-A (878),Male,12/21/2011,693
XCN280-01-A (152),Male,06/12/2009,306
XRP136-01-A (713),Male,03/18/2010,437
MXB539-01-A (317),Female,12/31/2018,82704
GWP690-01-A (482),Female,07/06/2013,1568
GRD367-01-A (954),Female,01/29/2019,85860
RBX179-01-A (482),Male,08/26/2018,87440
QNX355-01-A (713),Female,01/13/2020,85668
HKF151-02-A (558),Female,03/04/2014,1616
VPX270-01-A (812),Female,05/18/2018,85167
XFN825-01-A (416),Female,12/08/2011,1491
FQL745-01-M (560),Male,06/30/2022,86243
LTH030-01-A (888),Male,04/27/2019,88364
WXH022-01-A (416),Male,02/10/2020,81110
BSD728-01-A (855),Male,02/08/2018,85400
FZV019-01-A (581),Male,04/11/2019,85885
WSX337-01-A (176),Male,04/01/2022,86411
THW375-01-A (647),Male,02/07/2015,1653
NBM719-01-A (987),Female,08/17/2020,87815
MBC594-01-A (657),Female,03/13/2023,83818
XCT053-01-A (284),Male,07/02/2023,86069
NJJ317-01-A (954),Female,02/28/2022,83529
JTM922-01-A (317),Male,12/21/2022,84041
GQT206-01-A (185),Female,01/08/2020,81276
VQF882-01-A (548),Female,06/14/2023,89648
HQQ126-01-A (152),Male,11/30/2018,83653
XZN379-01-A (208),Male,12/09/2021,80577
FVR293-01-A (449),Male,01/20/2022,84725
VVJ565-01-A (779),Male,05/02/2022,81349
BPT625-01-A (152),Male,11/15/2018,89962
MDJ869-01-A (119),Female,03/07/2018,82388
WVD031-01-A (218),Female,03/12/2019,87038
SMW687-01-A (977),Female,12/26/2019,87405
HCC059-01-A (393),Female,08/18/2008,51
CKV256-01-A (186),Male,07/29/2020,83493
NJZ485-01-A (680),Male,06/28/2019,86793
GMF883-01-A (954),Female,02/04/2019,87691
GWS157-01-A (515),Male,09/20/2016,3007
GSS927-01-M (956),Male,11/15/2016,5019
MHK461-01-A (888),Female,04/30/2011,570
MFH967-01-A (186),Male,04/06/2022,85512
MMQ065-01-A (251),Male,07/27/2022,85737
ZSF135-01-A (449),Male,01/24/2017,2120
NZV016-01-A (746),Male,06/18/2018,88802
BLK085-01-A (723),Female,12/30/2018,83503
YTY353-01-A (142),Female,09/11/2020,88430
PJV818-01-A (614),Male,09/03/2022,82460
HZD623-01-A (186),Male,01/21/2010,418
WPX155-01-A (911),Female,08/13/2019,85861
SKD083-01-A (954),Male,02/25/2022,84698
NJD131-01-A (558),Female,10/26/2016,2112
WDV681-02-A (614),Female,02/05/2014,585
HCG894-01-A (756),Female,10/15/2018,88147
DVX295-01-A (647),Male,09/25/2018,84801
GHT947-01-A (284),Female,11/17/2022,83553
XHP409-01-A (482),Male,10/09/2016,3064
QDX581-01-A (416),Male,10/10/2018,87625
GSQ220-01-A (120),Female,05/23/2010,459
TWT195-01-A (143),Female,03/19/2019,82476
WBH589-01-A (284),Female,11/02/2010,519
JWB772-01-A (152),Female,06/10/2021,81952
VCY263-01-A (482),Female,12/02/2022,81925
HSG314-01-A (855),Female,12/24/2019,89831
HMP636-01-A (185),Female,04/13/2019,81711
HFH794-01-A (855),Female,12/08/2018,89307
BQZ289-01-A (581),Female,07/24/2018,89820
QXX395-01-A (175),Male,05/17/2019,87475
YKL878-01-A (812),Male,05/27/2020,88709
FLG196-01-A (822),Male,11/17/2018,85345
CLH650-01-A (591),Female,11/07/2018,82213
FHF958-01-A (855),Female,02/03/2010,406
GSS745-01-A (482),Female,07/13/2019,84509
VWC247-01-A (482),Male,10/17/2018,86542
KJX877-01-A (680),Female,11/13/2009,388
DDC920-01-A (195),Female,10/13/2018,86041
QHM041-01-A (888),Female,11/26/2018,81313
PXZ071-01-A (911),Female,06/23/2022,83675
LMP796-01-A (548),,03/04/2023,80790
BKX774-01-B (318),Male,01/19/2012,1407
HCW768-01-A (284),Female,06/11/2019,89300
NWH124-01-A (185),Female,04/01/2012,1397
XKM202-01-A (185),Female,06/06/2019,87959
DGF077-01-A (492),Male,03/01/2015,1675
ZZZ654-01-A (538),Female,12/24/2018,81340
QYW809-01-A (175),Male,04/10/2020,81392
YHV034-01-A (515),Female,09/05/2018,85205
CXM978-01-A (581),Male,10/24/2019,81481
ZMC796-01-N (123),Male,11/05/2018,85386
MDH924-01-A (789),Female,01/11/2019,80534
NMT952-01-A (548),Male,09/15/2022,80481
QSH314-01-A (185),Male,10/25/2016,6038
VKQ540-01-A (416),Male,11/20/2018,81224
RCJ118-01-A (822),Male,12/08/2022,89590
VTZ022-01-A (845),Male,11/15/2011,657
XSN254-01-A (713),Male,09/06/2009,375
GVN520-01-A (119),Female,01/15/2010,385
MBT712-01-A (954),Female,03/02/2019,88937
FSP644-01-A (284),Male,04/28/2015,1677
KYL770-01-A (515),,05/20/2023,88562
XTH804-01-A (581),Female,09/14/2018,83581
JWP176-01-A (548),Male,07/06/2016,6009
RWV410-01-A (713),Female,09/11/2013,1588
WLM620-01-A (317),Male,06/21/2022,88281
PGZ646-01-A (614),Male,10/04/2009,354
XTP134-01-A (713),Male,11/05/2019,82210
YNQ580-01-A (746),Female,04/19/2022,88216
SNV833-01-A (746),Male,03/19/2009,219
ZNP996-01-A (109),Female,11/01/2018,84629
VHC022-01-A (690),Male,08/07/2018,85044
SSN886-01-A (911),Female,08/30/2019,81108
LHH651-01-A (789),Female,03/30/2022,84409
WKZ186-01-A (944),Male,01/28/2013,1546
JWF036-01-M (461),Male,07/07/2020,82827
WDT738-01-A (614),Female,08/26/2018,82424
GNX879-01-A (746),Male,07/10/2019,89334
KQT735-01-A (548),Female,08/08/2019,89738
MYL231-01-A (317),Male,08/18/2020,89736
NTT798-01-A (143),Female,10/02/2009,361
YQJ784-01-A (812),Male,05/04/2010,448
SGS765-01-A (548),Unknown,11/19/2018,82053
HKY684-01-A (515),Female,05/02/2018,81683
WJD831-01-A (186),Male,04/20/2013,1578
CRN594-01-A (218),Female,11/14/2014,1651
ZRD863-01-A (614),Male,05/19/2022,81843
NQS089-01-A (680),Male,05/30/2018,81033
BZP492-01-A (416),Male,11/03/2022,82777
DVY889-01-A (977),Male,07/29/2022,80002
QGS042-01-A (186),Male,05/19/2014,1624
CPH213-01-A (558),Female,10/31/2019,88547
FVG772-01-A (152),Female,05/14/2022,87922
MNT928-01-A (647),Male,10/10/2018,81796
QZD360-01-A (317),Female,09/15/2017,6052
JKF478-01-A (987),Male,02/02/2023,86460
TMZ056-01-A (779),Male,04/05/2019,80895
BWK326-01-A (120),Male,06/07/2018,82628
YLT145-01-M (188),Female,11/14/2011,696
LVN615-01-M (857),Male,02/27/2019,89060
MVH088-01-A (416),Male,12/16/2008,210
FFC134-01-A (228),Female,12/08/2018,84484
WKB507-01-A (153),Male,11/22/2016,6011
KKT953-01-A (416),Male,04/02/2018,82883
RHJ981-01-A (251),Male,10/04/2017,3135
BPD313-01-A (426),Female,11/05/2019,81352
PKS896-01-A (746),,02/22/2023,80631
HZT648-01-A (845),Female,01/26/2010,422
MFH216-01-A (657),Male,08/27/2019,83827
ZKR150-01-A (482),Female,07/02/2018,88031
KLK075-01-A (987),Male,09/13/2022,86883
RGS961-01-A (449),Male,11/06/2008,75
CGZ547-01-A (185),,03/16/2020,82203
KBR593-01-A (153),Female,07/04/2018,81312
SVH828-01-A (680),Female,04/27/2022,85714
CFV428-01-A (954),Male,11/16/2010,557
KRR661-01-A (449),Female,04/15/2010,474
GDY251-01-A (921),Male,08/07/2022,86589
SGF025-01-A (756),Female,04/26/2014,1613
LSF764-01-A (251),Female,08/06/2022,86136
FZB062-01-A (855),Female,12/14/2011,700
SFT216-01-A (251),Female,01/05/2009,229
JHV440-01-A (153),Male,03/01/2022,87316
RLB023-01-A (690),Male,12/23/2021,86888
PTK794-01-A (680),Male,03/04/2009,277
VKK299-01-A (581),Female,12/05/2018,86331
YHX112-01-A (482),Female,12/10/2016,6032
PDV195-01-A (350),Female,07/15/2011,584
DPG728-01-A (921),Male,11/06/2019,84701
JHR422-01-A (921),Male,01/12/2019,89388
RPS818-01-A (779),Male,02/01/2017,2131
MSF514-01-A (153),Male,09/23/2008,59
FZH553-01-A (218),Female,10/23/2019,80004
QHT750-01-A (350),Female,09/08/2009,355
YFC067-01-A (120),Female,11/15/2022,89118
QWW532-01-A (878),Female,06/07/2023,82725
GZY382-01-A (812),Male,01/25/2019,85392
RDX008-01-A (251),Male,09/18/2018,82644
BNB650-01-A (426),Female,01/18/2019,82249
NKQ202-01-A (987),Female,01/16/2022,81163
DYD065-01-A (921),Female,09/10/2011,636
QWT012-01-A (548),Male,09/28/2012,1551
ZYL074-01-A (911),Male,02/10/2019,81398
LVR036-01-A (482),Male,03/19/2019,85605
HWS510-01-A (317),Female,07/09/2021,88470
TZR465-01-A (176),Male,12/17/2022,81242
GHC234-01-A (360),Female,11/20/2018,83444
LBG473-01-A (624),Female,09/06/2020,83556
CKH175-01-A (624),Unknown,09/16/2019,81096
NCF401-01-M (801),Male,08/12/2016,3015
LFW850-01-A (251),Male,03/18/2022,85037
XSM261-01-A (614),Female,04/08/2021,80514
KDH192-01-A (624),Female,02/18/2020,86974
LWB611-01-A (954),Male,02/25/2019,89709
ZKX281-01-A (845),Male,06/01/2023,82798
CGT416-01-A (822),Female,10/17/2013,1567
TVZ168-01-A (208),Male,03/25/2022,89168
PZP220-01-A (515),Male,11/21/2022,85519
DVD480-01-A (855),Male,05/02/2018,80660
GBB029-01-A (195),Unknown,10/04/2018,87624
YML925-01-A (647),,05/12/2023,86225
KNP833-01-A (284),Female,07/12/2016,6025
NDX702-01-A (152),Male,04/05/2023,86172
SJJ920-01-A (119),Female,11/24/2018,81560
MCC047-01-A (459),Female,09/13/2018,89985
FWL830-01-A (185),Male,08/08/2019,88800
YHR839-01-A (812),Male,03/22/2019,85551
PPM461-01-A (317),Male,12/25/2019,80447
WTX564-01-A (175),Male,02/12/2019,83555
GWM598-01-A (614),Female,10/29/2019,83891
VCT498-01-A (647),Female,02/13/2023,83479
QWG775-01-A (647),Female,02/08/2019,80003
ZHX342-01-A (680),Male,04/06/2022,84090
VRZ404-01-A (911),,09/16/2022,87297
GHR496-01-A (185),Female,10/26/2018,89940
LVS841-01-A (647),Male,05/09/2019,81999
YWV134-01-A (143),Male,03/10/2018,89484
YKX813-01-A (845),Female,10/29/2016,6044
QPJ289-01-A (515),Female,09/24/2008,71
VPK831-01-A (482),Female,11/26/2012,1526
GMM374-01-A (120),Female,05/15/2020,87145
PCG681-01-A (822),Male,11/13/2019,84154
QPP709-01-A (614),Female,12/26/2018,81206
QKS362-01-A (383),Female,03/06/2020,81274
CFD249-01-A (393),Male,03/16/2022,88394
PCF029-01-A (657),Male,04/14/2022,87755
XFQ902-01-A (383),Female,12/10/2009,367
YNZ000-01-A (614),Male,12/16/2015,1704
VLJ473-01-A (383),,05/05/2023,80803
LRZ988-01-A (142),Male,01/06/2022,87597
SKR563-01-A (515),Female,01/06/2019,85221
KDL739-01-A (987),Male,11/06/2018,87652
PBC879-01-A (954),Female,11/13/2019,86170
BTK197-01-A (119),Female,05/23/2017,3103
KCV983-01-A (317),Female,06/24/2021,80070
KRT349-01-A (614),Female,08/13/2020,87341
BRC337-01-A (657),Male,05/30/2019,89653
VSH940-01-A (515),Male,12/04/2018,84697
RQS085-01-A (680),Female,09/09/2021,80752
YNX617-01-A (110),Female,09/29/2016,3030
WRJ940-01-A (581),Male,01/13/2019,86670
QYX215-01-A (911),Female,06/24/2020,86351
VPM317-01-A (515),Male,05/03/2022,88684
LMQ766-01-A (482),Male,09/15/2016,3018
KKR431-01-A (153),Male,09/08/2019,84454
RYR656-01-A (143),Female,12/22/2018,82219
NXR556-01-A (845),Male,04/26/2013,1579
ZTS569-01-A (274),Female,11/01/2022,88390
FMB032-01-A (327),Female,04/28/2012,1365
TZM355-01-A (845),Male,11/04/2020,86724
XFK783-01-A (416),Male,04/25/2020,89891
SSF975-01-A (614),Female,06/13/2010,482
RNQ476-01-A (647),Female,06/18/2019,88438
SDB837-01-A (888),Male,02/16/2010,432
VZS882-01-A (274),Female,12/15/2019,83953
RHT150-01-A (185),Male,02/19/2022,87089
FNC054-01-A (525),Female,10/11/2022,86836
DVX363-01-A (515),Male,01/23/2019,85608
CDR429-01-A (789),Female,05/22/2020,87340
DMR727-01-N (594),Male,10/12/2018,87424
YTC168-01-A (548),Female,01/28/2019,84341
JNB114-01-M (933),Female,08/31/2016,3058
BQS209-01-A (186),Male,03/02/2020,84580
NDN427-01-A (954),Male,01/12/2019,86330
NDP526-01-A (120),Unknown,10/11/2019,87949
TGY183-01-A (581),Female,12/26/2015,1702
JFB270-01-A (360),Female,02/27/2019,88444
QLS049-01-A (482),Female,12/10/2012,1474
LGT122-01-A (921),Male,04/19/2013,1589
PKM194-01-A (251),Female,10/08/2021,87870
YYJ169-01-A (977),Male,08/03/2015,1661
LJF586-01-A (120),Female,09/26/2018,88223
RZN087-01-A (878),Male,11/07/2011,679
CLL983-01-A (120),Male,09/12/2011,634
YXM745-01-A (143),Male,01/20/2022,84267
YRF653-01-A (548),Male,05/20/2019,89827
MPX858-01-A (911),Female,10/04/2021,81192
PXV115-01-A (746),Male,10/17/2016,3055
LPT526-01-A (482),Female,01/03/2023,89267
VCD048-01-A (822),Male,09/22/2019,88454
HQL715-01-A (119),Male,03/17/2023,80116
WPF867-01-A (647),Male,03/23/2012,541
ZBS601-01-A (251),Male,10/29/2019,84874
WQG034-01-A (251),Female,08/03/2018,82592
KGL651-01-A (855),Male,10/28/2016,2103
GPB696-01-A (987),Female,06/26/2020,87900
HFT023-01-A (756),Female,04/29/2022,88198
DSN848-01-A (350),Female,03/30/2018,83123
WRR836-01-A (977),Male,02/18/2009,222
VXC560-01-A (449),Male,12/21/2018,83284
DXD675-01-A (119),Male,05/17/2022,82063
QLS775-01-A (680),Male,10/26/2022,86365
DDD700-01-A (196),Male,10/12/2022,86911
TLP747-01-A (647),Female,10/10/2018,86716
CLX467-01-A (317),Male,04/16/2016,2006
NVR913-01-A (680),Female,12/17/2021,84469
GHG157-01-A (624),Male,07/20/2010,495
BJV814-01-A (120),Male,07/20/2022,88367
LSZ884-01-A (110),,07/06/2022,82493
YZY972-02-A (604),Male,05/01/2011,566
NKX909-01-A (680),,08/15/2016,6002
VBZ802-01-A (449),Male,10/06/2014,1669
XNV726-01-A (944),Female,05/16/2022,80518
LRP504-01-A (284),Unknown,11/21/2018,82409
VVL844-01-A (845),Female,11/02/2022,88880
MTX365-01-A (812),Female,03/15/2009,290
QHC467-01-A (954),Male,02/26/2019,85466
FKQ423-01-A (888),,12/20/2018,89375
MVC857-01-A (383),,09/17/2018,80919
VRK247-01-A (581),,02/14/2023,88530
FVJ218-01-A (186),Male,08/11/2018,81625
TGT068-01-A (482),,01/19/2023,88088
VLZ486-01-A (143),Male,04/29/2021,88086
FPF111-01-A (492),Male,09/03/2018,86691
FKK329-01-A (855),Male,06/07/2022,86835
NBV813-01-A (119),Male,03/14/2015,1674
JWF036-01-N (495),Male,07/07/2020,82827
SBR746-01-A (317),Male,07/09/2009,331
JBM032-01-A (459),Male,04/04/2020,84188
YFN123-01-A (152),Male,11/17/2018,83066
KQM140-01-A (987),Female,09/12/2022,81780
LQV943-01-A (680),Female,11/20/2016,6030
DHJ053-01-A (459),Female,03/29/2019,80016
VCL006-01-A (888),Male,03/16/2023,85804
WQL709-01-A (713),Male,10/02/2021,82937
VBZ616-01-A (548),Female,04/16/2019,83080
RGV560-01-A (383),Female,03/09/2012,1364
QZD124-01-A (251),Male,03/12/2020,87426
JYP576-02-A (779),Male,06/28/2017,2146
VDW156-01-A (482),Male,03/11/2023,89589
YQL844-01-A (779),Male,05/18/2022,89351
QHS933-01-A (416),Male,03/17/2022,84228
GCT336-01-A (855),Female,08/14/2020,81019
JDH761-01-A (657),Male,10/27/2022,86305
XTV082-01-A (977),Male,12/10/2008,226
RQT437-01-A (746),Female,05/05/2019,81394
PPK451-01-A (218),Male,05/14/2021,80614
BZW650-01-A (515),Female,09/10/2021,82473
WMX146-01-A (812),Male,09/14/2011,632
NGG134-01-A (657),Male,12/23/2018,86375
TWQ362-01-A (812),Male,07/01/2011,493
MBX041-01-A (921),Male,07/25/2018,84834
DSL394-01-A (152),Female,11/10/2011,680
MCK491-01-A (822),Female,09/01/2020,88093
QFZ582-01-A (581),Male,08/10/2012,1391
GMF268-01-A (855),Female,10/25/2011,670
RPG412-01-A (153),Female,04/07/2009,300
XTH200-02-A (284),Female,11/05/2009,384
XNF114-01-A (119),Female,08/29/2022,80198
XXR770-01-A (109),Female,08/18/2016,2010
QLP726-01-A (449),Male,03/13/2019,88832
MMV447-01-A (548),Male,03/07/2012,1423
NGG134-01-N (199),Male,12/23/2018,86375
DKQ647-01-A (186),Male,09/24/2016,3053
KNM839-01-A (383),Male,11/21/2022,86579
XXW639-01-A (406),Male,11/08/2016,3065
HBN403-01-A (492),Male,11/23/2016,2085
RPG520-01-A (153),Male,06/03/2013,1540
PNL438-01-A (350),Female,07/21/2009,322
SRC249-01-A (284),Female,12/27/2021,85328
SXJ131-01-A (383),Male,06/28/2016,3034
NZT852-01-A (944),Male,12/10/2010,554
TYJ533-01-A (647),Male,01/28/2015,1644
NMF407-01-A (921),Female,12/28/2013,1586
JQZ496-01-A (845),Female,03/14/2009,205
RGJ803-01-A (987),Male,09/11/2019,83019
JBS294-01-A (987),Female,11/14/2016,2080
TKH567-01-A (350),Male,08/26/2018,83517
